restaurant,name,price
Local Kitchens - Davis,LIFEWTR Bottled Water,$3.65
Local Kitchens - Davis,SOB Sauce,$0.65
Local Kitchens - Davis,Garlic Aioli,$0.65
Local Kitchens - Davis,Hickory Sauce,$0.65
Local Kitchens - Davis,Green S’chug,$1.25
Local Kitchens - Davis,Amba Aioli,$1.25
Local Kitchens - Davis,Black Garlic Aioli,$1.25
Local Kitchens - Davis,Lemon Tahini,$1.25
Local Kitchens - Davis,Mike's Hot Honey,$1.55
Local Kitchens - Davis,SPG Ranch,$1.55
Local Kitchens - Davis,SPG Sauce,$1.55
Local Kitchens - Davis,Sweet Fish Sauce,$1.25
Local Kitchens - Davis,Scallion Oil,$1.25
Local Kitchens - Davis,Saigon Sambal,$1.25
Local Kitchens - Davis,Tway Ploy,$1.25
Local Kitchens - Davis,Herb Mayo,$0.95
Local Kitchens - Davis,Tay's Hot Mustard,$0.95
Local Kitchens - Davis,Spicy Russian Dressing,$0.95
Local Kitchens - Davis,Condiments,Priced by add-ons
Local Kitchens - Davis,Utensils,Priced by add-ons
Wingstop (408 G ST),Flavor Feast,$28.79
Wingstop (408 G ST),Boneless Meal Deal,$21.89
Wingstop (408 G ST),6 pc Wing Combo,$16.09
Wingstop (408 G ST),8 pc Wing Combo,$17.29
Wingstop (408 G ST),10 pc Wing Combo,$19.59
Wingstop (408 G ST),15 pc Meal for 2,$32.19
Wingstop (408 G ST),30 pc Crew Pack,$50.59
Wingstop (408 G ST),40 pc Group Pack,$58.69
Wingstop (408 G ST),50 pc Party Pack,$72.49
Wingstop (408 G ST),75 pc Pack,$103.49
Wingstop (408 G ST),100 pc Pack,$132.29
Wingstop (408 G ST),NEW! 3 pc Crispy Tender Combo,$11.49
Wingstop (408 G ST),NEW! 5 pc Crispy Tender Combo,$14.99
Wingstop (408 G ST),NEW! 6 pc Crispy Tender Meal for 2,$17.29
Wingstop (408 G ST),Chicken Sandwich Combo,$10.39
Wingstop (408 G ST),Chicken Sandwich,$6.89
Wingstop (408 G ST),10 Wings,$9.29
Wingstop (408 G ST),15 Wings,$13.89
Wingstop (408 G ST),20 Wings,$18.49
Wingstop (408 G ST),30 Wings,$27.69
Wingstop (408 G ST),50 Wings,$46.09
Wingstop (408 G ST),75 Wings,$69.09
Wingstop (408 G ST),100 Wings,$92.09
