Category,Name,Price,Description,Base Calories,Max Calories
Chicken Combos,Homestyle Ranch Chicken Club Combo,14.18,"100% all-white meat crispy chicken with Swiss style cheese, hickory smoked bacon, lettuce, tomato & buttermilk ranch on toasted brioche plus fries & drink.",,
Chicken Combos,Jack's Spicy Chicken® w/ Cheese Combo,13.48,"100% all white meat spicy crispy chicken fillet with melty Swiss style cheese, tomato, lettuce & mayo on a toasted buttery bakery bun, plus fries & drink.",,
Chicken Combos,Jack's Spicy Chicken® Combo,13.08,"100% all white meat spicy crispy chicken fillet with tomato, lettuce & mayo on a toasted buttery bakery bun, plus fries & drink. Crazily tasty.",,
Chicken Combos,Cluck Sandwich Combo,13.08,"100% all white meat crispy chicken fillet with pickles & Jack's Good Good Sauce on a toasted brioche bun, plus fries & drink. A pro-caliber order.",,
Chicken Combos,Grilled Chicken Sandwich Combo,13.58,"A grilled chicken fillet with lettuce, tomatoes & Good Good Sauce all on toasted sourdough bread, with hot & salty fries & a drink. Get in there.",,
Chicken Combos,5pc Crispy Chicken Strips Combo,15.08,"Our 100% all-white meat crispy chicken strips are bigger and better than ever. With hot & salty fries and a drink, you'll daydream about it after.",,
Chicken Combos,3pc Crispy Chicken Strips Combo,13.08,"Our 100% all-white meat crispy chicken strips are bigger and better than ever. With hot & salty fries and a drink, you'll daydream about it after.",,
Chicken Combos,8pc Chicken Nuggets Combo,10.28,"Warm, tender chicken nuggets, with hot & salty fries and a drink. Order this combo. It's 100% the right move. ",,
Chicken Combos,Chicken Teriyaki Bowl Combo,9.5,"Flame grilled chicken strips with veggies, white rice & sweet and savory teriyaki sauce, plus an egg roll & a drink. Your new go-to Jack order.",790,1820
Chicken Combos,Chicken Teriyaki Bowl w/ Brown Rice Combo,9.5,"Flame grilled chicken strips with veggies, brown rice & sweet and savory teriyaki sauce, plus an egg roll & a drink. Your new go-to Jack order.",750,1200
Breakfast Combos,6pc Banana French Toast Sticks Combo,7.1,"Six pieces of French Toast Sticks, now banana flavored. Crispy on the outside & fluffy on the inside w/ chocolate syrup, plus hot coffee & a hash brown.",700,1490
Breakfast Combos,3PC Banana French Toast Sticks Platter w/ Bacon & Sausage Combo,8.5,"Scrambled eggs, a hash brown, hickory-smoked bacon, sausage, plus three banana flavored French Toast Sticks with chocolate syrup. Plus, hot coffee & a hash brown.",950,1740
Breakfast Combos,3PC Banana French Toast Sticks Platter w/ Sausage Combo,8.1,"Scrambled eggs, a hash brown, sausage, plus three banana flavored French Toast Sticks with chocolate syrup for dipping. Plus, hot coffee & a hash brown.",860,1650
Breakfast Combos,6pc Classic French Toast Sticks Combo,7.1,"6 pieces of the classic French Toast Sticks you know and love, plus a hot coffee and a hash brown. Available all day. You're welcome.",520,1590
Breakfast Combos,3PC French Toast Sticks Platter w/ Bacon & Sausage Combo,8.5,"Your dream breakfast all in one: bacon, sausage, scrambled eggs, a hash brown, plus three French Toast Sticks, and syrup. Served all day, every day!",870,1940
Breakfast Combos,3PC French Toast Sticks Platter w/ Bacon Combo,8.1,"Get scrambled eggs, a hash brown, hickory-smoked bacon, plus three French Toast Sticks, and syrup. Served all day, every day!",700,1770
Breakfast Combos,3PC French Toast Sticks Platter w/ Sausage Combo,8.1,"Get scrambled eggs, a hash brown, sausage, plus three French Toast Sticks, and syrup. Served all day, every day!",780,1850
Breakfast Combos,Grande Sausage Burrito Combo,8.2,"An on-the-go breakfast with sausage, bacon, scrambled eggs, hash brown, cheese, and Spicy Good Good Sauce, plus hot coffee and a hash brown on the side.",1100,1890
Breakfast Combos,Supreme Croissant Combo,7.3,"A warm buttery croissant stacked supreme with a freshly cracked egg, grilled ham, hickory smoked bacon and melty cheese plus hot coffee & a hash brown.",400,1500
Breakfast Combos,Sausage Croissant Combo,7.2,"Freshly cracked egg, grilled sausage and melty cheese on a warm croissant plus hot coffee & a hash brown. A good reason to get out of bed in the morning.",510,1610
Breakfast Combos,Supreme Sourdough Breakfast Sandwich Combo,6.7,"A freshly cracked egg, hickory smoked bacon, grilled ham & melty American cheese on toasted sourdough bread, plus hot coffee & hash brown. Get it ALL day.",,
Breakfast Combos,Meat Lovers Burrito Combo,8.2,"A flour tortilla filled with scrambled eggs, bacon, sausage, ham and cheddar cheese, with a side of fire-roasted tomato salsa, plus coffee & a hash brown.",830,1930
Breakfast Combos,Loaded Breakfast Sandwich Combo,8.3,"Freshly cracked eggs, hickory smoked bacon, grilled ham & sausage, melty American cheese and toasted sourdough bread. With hot coffee & a hash brown. Boom.",740,1840
Breakfast Combos,Extreme Sausage® Sandwich Combo,7.3,"2x the grilled sausage, 2x the melty American cheese & a freshly cracked egg on a toasted buttery bakery bun. Plus hot coffee & a hash brown.",680,1850
Breakfast Combos,Ultimate Breakfast Sandwich Combo,8.1,"2 freshly cracked eggs, 2 slices of melty American cheese, 2 slices of ham, 2 slices of bacon on a warm bakery bun, plus hot coffee & a hash brown.",550,1650
Breakfast Combos,Sausage Breakfast Jack® Combo,5.1,"Grilled sausage, a freshly cracked egg & melty American cheese on a warm bun plus hot coffee & a hash brown. Pretty much the definition of a good morning.",530,1630
Breakfast Combos,Breakfast Jack® Combo,4.7,"Grilled ham, a freshly cracked egg & melty American cheese all on a toasted buttery bakery bun. Plus hot coffee & a hash brown. A true masterpiece.",380,1480
